hash,filename,object,score,decision
90c58d20a654a1e3210d3d48ff9d25451796c0a16331d0fd14f99ec78fde2dd568b5f097df2714af65dbe668b5ac1e76f4ad505f9e533075be94b2aad86cbac1,frequest.py,request,0.487,suspicious
d1aebdf811761aa4d94c72666a5d55435c04ef8d6ba4a64d7813bc074021e9637e793f069e6e2a8649831660df7accff665e62a1c80d3f076b982b8a1b107e54,setup.py,<module>,1.0,suspicious
6cf6e7eed5134299e2341bfd9f86bb30e6076573b6990aa2c42ee2bc25f513e68c456a737b3d6c31fa7508b27a9fd5e52ccfc0e8a4938ac7befc52c9d52a154e,setup.py,<module>,1.0,suspicious
8ff340c4761c7ad0ba1d1660603bd62f4580e7a43c357ddc73d0f25766741d05ac45fc994a79763e0b73f67f5fcd2606c7a1bf46cbe1c445c3ed57f604c85f1b,setup.py,<module>,1.0,suspicious
31223104c1298e6ce89b8e8df21da45f88eca2819cce20514c8d87a6e50434da154187ee45ac6b6679b1666db2b0cbbe40402401e447083cee4e95a2927a49c3,setup.py,<module>,1.0,suspicious
4161501964af97362a7aec8f4251fd658e88f9a572bb8a38f3ba0f57c9aa1c54b5e871722137f2e527985bb4199de27998224670091a3e19d2b28f008c2ca432,setup.py,<module>,1.0,suspicious
ba81e296b1d747a25a71b522761ad6bf554124bbac2f8be29bc8576a730ca9057db983e8abb19566cd4d7617bf0d477a5482cd6b02decc38cbeb984584c1bbfd,setup.py,<module>,1.0,suspicious
e536d34a33e3cde905b1732707bdee8f60d7634b782676026557f709cff0389a81b0eb3ee56b3b9ceb618aaff3950374f3375fa1c0e744b8de599f83243fefe4,setup.py,<module>,1.0,suspicious
37a94ba29f97a183afa79b50785f70aa88ba49449acb66369ca4267398a147b6fe418a384390c24cf01c08ce85b42bf0168660b79217fbe66be49b135a91507d,setup.py,<module>,1.0,suspicious
fe61b4801c595230efb3914803fcd8892a0702043a216925e491df3c841bf6cccb436f2d780fc6d9336ae352e61208bce6c3b548c0f5781c04be2dbef8042d20,__init__.py,<module>,0.005,suspicious
f63df3c6e1e879ef3ae8b551e99a194d27a3ceb36d22239c37ca2b22c38c154b34fe611c3480e7906d912d49cd62a27c22eba2f6522dcdd521d019ebb6b9ea4f,setup.py,<module>,1.0,suspicious
fabc04111d39a49a3aa1306176560eafa44cbec2c7cf0347d8db7c49e22aea62c813d8cfcbcb1b8bc52cad6512afd1f4fa43bd48e95dc299ad4fe93a934a6756,setup.py,notmalfunc,1.0,suspicious
f3c65e175600d5ff1b0a7b83efa68d7419832dbc8441c0fb483b14f178988d2412a61f3a5ce4a4f88755ffc6230e997bc76ce6b18a42f3f812b49f0529479088,setup.py,AfterDevelop,0.984,benign
6c4fa2cb4c1db129b62b3f3beef27bba8d8f3a243b1424c10dc40b1a8c1fe3587169009ce30d29e5c66ef60c4633dc70078f2b6bc46db5c5e2e802b96e9376c4,setup.py,AfterInstall,0.994,suspicious
